Ticker,close,high,low,month,open,volume,time,year,day
ADANIENT,2387.25,2424.9,2372.0,10,2418.0,2019899,0 days 05:30:00,2023,3
ADANIENT,2464.95,2502.75,2392.25,10,2402.2,2857377,0 days 05:30:00,2023,4
ADANIENT,2466.35,2486.5,2446.4,10,2477.95,1132455,0 days 05:30:00,2023,5
ADANIENT,2478.1,2514.95,2466.05,10,2466.35,1510035,0 days 05:30:00,2023,6
ADANIENT,2442.6,2459.7,2411.3,10,2440.0,1408224,0 days 05:30:00,2023,9
ADANIENT,2498.3,2517.95,2443.0,10,2443.0,1771910,0 days 05:30:00,2023,10
ADANIENT,2488.6,2538.0,2482.5,10,2533.9,1627836,0 days 05:30:00,2023,11
ADANIENT,2506.35,2521.75,2490.65,10,2499.9,1804818,0 days 05:30:00,2023,12
ADANIENT,2454.55,2495.0,2422.35,10,2488.9,2278682,0 days 05:30:00,2023,13
ADANIENT,2429.35,2464.7,2421.85,10,2454.55,803856,0 days 05:30:00,2023,16
ADANIENT,2428.4,2462.0,2423.5,10,2459.95,707543,0 days 05:30:00,2023,17
ADANIENT,2406.35,2441.75,2401.05,10,2440.0,776977,0 days 05:30:00,2023,18
ADANIENT,2402.2,2414.7,2382.55,10,2400.0,1168822,0 days 05:30:00,2023,19
ADANIENT,2393.75,2443.95,2382.05,10,2398.05,1240350,0 days 05:30:00,2023,20
ADANIENT,2308.65,2412.35,2301.8,10,2397.8,1483549,0 days 05:30:00,2023,23
ADANIENT,2257.0,2348.05,2235.3,10,2320.0,1540819,0 days 05:30:00,2023,25
ADANIENT,2203.2,2249.0,2167.05,10,2249.0,2226073,0 days 05:30:00,2023,26
ADANIENT,2261.7,2275.0,2212.0,10,2222.0,1244293,0 days 05:30:00,2023,27
ADANIENT,2299.1,2305.0,2250.0,10,2260.05,996448,0 days 05:30:00,2023,30
ADANIENT,2294.65,2320.0,2276.0,10,2320.0,1155280,0 days 05:30:00,2023,31
ADANIENT,2217.3,2312.25,2207.0,11,2299.0,1666579,0 days 05:30:00,2023,1
ADANIENT,2215.3,2297.95,2204.2,11,2247.0,2340997,0 days 05:30:00,2023,2
ADANIENT,2229.85,2279.0,2215.0,11,2215.3,1853300,0 days 05:30:00,2023,3
ADANIENT,2246.0,2260.0,2233.0,11,2253.95,770061,0 days 05:30:00,2023,6
ADANIENT,2233.35,2260.0,2226.65,11,2257.0,641554,0 days 05:30:00,2023,7
